Name,Description,Category,Type,Requirements,Numerical_Values,ID,Notes
"Fledgling company","Have 100 portals","Portal","Normal","Have 100 portals",100,530,"Portal milestone"
"From scratch","Bake 1 trillion cookies in one ascension","Baking","Normal","Bake 1 trillion in one ascension",1000000000000,531,"Single ascension baking"
"Let me get uhhh","Ascend with 10 undecillion cookies baked","Baking","Normal","Ascend with 10 undecillion baked",10000000000000000000000000000000000000,532,"Very high cookie ascension"
"Pray on the weak","Ascend with 1 duodecillion cookies baked","Baking","Normal","Ascend with 1 duodecillion baked",1000000000000000000000000000000000000000,533,"Extremely high cookie ascension"
"Not even close","Have 10 of all the highest tier buildings","Building","Normal","10 of highest tier buildings",10,534,"High tier building milestone"
"Humble rebeginnings","Ascend for the first time","Ascension","Normal","First ascension",1,535,"First ascension achievement"
"Still just a statistic","Have 100 chancemakers","Chancemaker","Normal","Own 100 chancemakers",100,536,"Chancemaker milestone"
"Dissolution","Ascend 1 billion times","Ascension","Normal","Ascend 1 billion times",1000000000,537,"Extreme ascension count"
"Can we get much higher","Reach 100 octillion CpS","CpS","Milestone","Reach 100 octillion CpS",100000000000000000000000000000,538,"Very high CpS milestone"
"So high","Reach 1 nonillion CpS","CpS","Milestone","Reach 1 nonillion CpS",1000000000000000000000000000000,539,"Extremely high CpS milestone"
